"Course subject code","Course number","Course name","Campus","Course description","Minimum credits","Maximum credits","Is this course repeatable?","What is the maximum number of completions allowed?","What is the maximum number of credits that can be earned from this course?","Grading basis","Requirements","Typically offered term(s)"
"CSCI","2021","Machine Architecture and Organization","Twin Cities","Introduction to hardware/software components of computer system. Data representation, boolean algebra, machine-level programs, instruction set architecture, processor organization, memory hierarchy, virtual memory, compiling, linking. Programming in C.

prereq: 1913 or 1933  or 1933H","4","4","No","1","4","OPT - Student Option","012965","Every Fall & Spring"
"CSCI","2033","Elementary Computational Linear Algebra","Twin Cities","Matrices/linear transformations, basic theory. Linear vector spaces. Inner product spaces. Systems of linear equations, Eigenvalues, singular values. Algorithms/computational matrix methods using MATLAB. Use of matrix methods to solve variety of computer science problems.

prereq: CSCI [1103 OR 1113 OR 1133] & MATH [1271 OR 1371 OR 1571H]","4","4","No","1","4","OPT - Student Option","013033","Every Fall & Spring"
"CSCI","2041","Advanced Programming Principles","Twin Cities","Principles/techniques for creating correct, robust, modular programs. Computing with symbolic data, recursion/induction, functional programming, impact of evaluation strategies, parallelism. Organizing data/computations around types. Search-based programming, concurrency, modularity.

prereq: (CSci 1913 or CSci 1933 or 1933H) and (CSci 2011 or CSci 2011H)","4","4","No","1","4","OPT - Student Option","013470","Every Fall & Spring"
"CSCI","2081","Introduction to Software Development","Twin Cities","echniques for design and development of software using Java. Introduction to object-oriented programming and design, integrated development environments, inheritance, and polymorphism. Software design principles, testing and debugging, and use of project management tools. Implementation of a software project using data structures, files, and I/O. This course is intended for non-CS Majors. 

prereq: CSCI 1133 or CSCI 1133H","4","4","No","1","4","OPT - Student Option","011782","Every Fall & Spring"
"CSCI","2521","Thinking with Machines: The Art, Science, and Ethics of AI","Twin Cities","Introduction to modern artificial intelligence. Trace the evolution of AI from early neural networks to large language models. Explore building apps using AI “vibe coding.” Examine core ethical challenges, including bias, authorship, societal risks, and environmental impacts. 

Students with limited prior coding experience are encouraged to take CSCI 1521 concurrently. CSCI 1521 is a 1-credit course where students will learn basic coding principles in the programming language Python, tailored to the needs of CSCI 2521.","3","3","No","1","3","A-F - A-F Grade Basis","-","Every Fall"
"CSCI","2915","Teaching Methods in Computer Science","Twin Cities","This is a seminar on teaching and learning for undergraduate teaching assistants (TAs) of CSci classes. Enrollment is by instructor or department permission. The course's main goal is to help TAs improve their knowledge of teaching and learning in computer science so they can be effective TAs. Topics covered include educational issues in computer science, TA professionalism, best practices in giving effective feedback, inclusive teaching, online teaching and learning, and how to communicate well with students and other course staff. Its secondary goals are to help TAs improve their own communication skills, leadership skills, and knowledge of computer science as a field.","1","1","No","1","1","S-N - S-N Grade Basis","-","Every Spring"
"CSCI","2980","Special Topics in Computer Science","Twin Cities","Special topics. Lectures, informal discussions.","1","4","Yes","2","8","AFV - A-F or Audit","-","Periodic Fall & Spring"
"CSCI","2999","Special Exam","Twin Cities","-","4","4","No","1","4","OPT - Student Option","-","-"
"CSCI","3003","Introduction to Computing in Biology","Twin Cities","This course builds computational skills needed to carry out basic data analysis tasks common in modern biology. Students will learn computing concepts (algorithm development, data structures, complexity analysis) along with practical programming skills in Python and R. No previous programming knowledge assumed. 

Prereq: introductory biology course.","3","3","No","1","3","OPT - Student Option","-","Every Spring"
"CSCI","3041","Introduction to Discrete Structures and Algorithms","Twin Cities","Overview of strategies and techniques for the design and analysis of algorithms. Logic and proof techniques, asymptotic notation, recurrences, graphs, and relations. Algorithm design strategies and examples from graph algorithms, greedy, divide-and-conquer, and dynamic programming. This course is intended for non-CS Majors. 

Prereq: CSci 2081 ","4","4","No","1","4","OPT - Student Option","012983","Every Fall & Spring"
"CSCI","3061","Introduction to Computer Systems","Twin Cities","Overview of the organization and interfaces of computing systems. Basics of machine organization, data representation, memory hierarchy and assembly language/ISA. Systems programming in C/C++, including memory management, files, processes and interprocess communication. This course is intended for non-CS Majors.

prereq: CSci 2081","4","4","No","1","4","OPT - Student Option","012983","Every Fall & Spring"
"CSCI","3081W","Program Design and Development","Twin Cities","Principles of programming design/analysis. Concepts in software development. Uses a programming project to illustrate key ideas in program design/development, data structures, debugging, files, I/O, testing, and coding standards.  

prereq: (CSci 2021, CSCI 2041, CSci upper div) or CSci grad or department consent","4","4","No","1","4","OPT - Student Option","013488","Every Fall & Spring"
"CSCI","3901","Introduction to Undergraduate Research in Computer Science","Twin Cities","This seminar will prepare students to engage in undergraduate research in computer science by introducing and exploring the cycle involved in academic research. Students will learn how to access, read and evaluate credible literature, develop a research problem and hypothesis, select an appropriate methodology, and how to write a short research proposal. Students will engage with departmental research faculty through research talks and will explore and apply for research programs that are available (e.g. URGO, McNair, DREU.) Students will know what research entails, how it is performed, and why it can enhance an undergraduate experience.","1","1","No","1","1","S-N - S-N Grade Basis","-","Every Spring"
"CSCI","3901H","Introduction to Undergraduate Research in Computer Science","Twin Cities","This seminar will prepare students to engage in undergraduate research in computer science by introducing and exploring the cycle involved in academic research. Students will learn how to access, read and evaluate credible literature, develop a research problem and hypothesis, select an appropriate methodology, and how to write a short research proposal. Students will engage with departmental research faculty through research talks and will explore and apply for research programs that are available (e.g. URGO, McNair, DREU.) Students will know what research entails, how it is performed, and why it can enhance an undergraduate experience.","1","1","No","1","1","A-F - A-F Grade Basis","-","Every Spring"
"CSCI","3921W","Social, Legal, and Ethical Issues in Computing","Twin Cities","Impact of computers on society. Computer science perspective of ethical, legal, social, philosophical, political, and economic aspects of computing.

prereq: At least soph or instr consent","3","3","No","1","3","OPT - Student Option","000972","Every Fall"
"CSCI","3923","Ethics in Computing","Twin Cities","An introduction to ethics and computing, including ethical principles and codes, professional conduct and responsibilities, basics of topics such as freedom of speech and intellectual property, computing and current societal issues, data collection and privacy issues, fairness and related issues, and benefits and harms of computing systems.

PreReq: [(CSci BA OR CSci BS OR DSci BS) AND (Junior or Senior Standing)]","1","1","No","1","1","OPT - Student Option","012524","Every Fall & Spring"
